Date,Close/Last,Volume,Open,High,Low
07/07/2025,$167.86,991826,$170.20,$170.6982,$167.18
07/03/2025,$174.89,334989,$174.39,$175.245,$174.01
07/02/2025,$172.01,441860,$171.44,$172.29,$171.11
07/01/2025,$171.54,857098,$170.80,$173.16,$170.66
06/30/2025,$172.26,522079,$172.68,$173.52,$171.701
06/27/2025,$175.74,512996,$175.48,$176.72,$174.90
06/26/2025,$170.63,335417,$170.10,$170.91,$169.62
06/25/2025,$169.15,468386,$169.92,$170.027,$169.07
06/24/2025,$171.58,400613,$171.80,$172.39,$171.51
06/23/2025,$170.88,622777,$170.05,$171.05,$169.20
06/20/2025,$172.40,469716,$173.30,$173.36,$171.89
06/18/2025,$175.59,458602,$176.45,$177.44,$175.59
06/17/2025,$173.95,555479,$175.52,$175.52,$173.45
06/16/2025,$177.67,433750,$178.03,$179.34,$177.67
06/13/2025,$178.75,432042,$178.50,$179.98,$178.17
06/12/2025,$181.99,385859,$182.25,$182.40,$181.32
06/11/2025,$182.61,322127,$184.27,$184.58,$182.61
06/10/2025,$185.25,405883,$184.00,$185.33,$183.43
06/09/2025,$183.94,335874,$183.64,$184.33,$183.02
06/06/2025,$185.14,307873,$184.94,$185.655,$184.685
06/05/2025,$184.40,509057,$185.44,$185.95,$183.62
06/04/2025,$187.96,598104,$189.54,$190.155,$187.96
06/03/2025,$191.40,577309,$189.00,$192.45,$188.60
06/02/2025,$189.14,375026,$187.80,$189.14,$187.80
05/30/2025,$190.57,396583,$190.14,$191.2999,$189.30
05/29/2025,$186.11,392575,$186.48,$186.99,$184.87
05/28/2025,$182.88,400907,$183.00,$183.83,$182.44
05/27/2025,$186.68,331124,$185.04,$186.95,$185.04
05/23/2025,$182.30,485206,$181.25,$182.34,$180.655
05/22/2025,$182.82,378945,$181.99,$183.76,$181.13
05/21/2025,$184.47,257408,$185.72,$186.70,$184.31
05/20/2025,$186.36,309961,$186.15,$186.42,$185.41
05/19/2025,$185.32,289837,$183.19,$185.32,$183.0534
05/16/2025,$183.19,355694,$182.58,$183.63,$182.19
05/15/2025,$183.45,451728,$182.30,$183.81,$181.95
05/14/2025,$187.00,487847,$188.17,$188.61,$186.49
05/13/2025,$193.97,370546,$192.75,$194.33,$192.22
05/12/2025,$192.32,387603,$190.97,$192.91,$190.70
05/09/2025,$187.53,465261,$186.44,$187.82,$186.10
05/08/2025,$187.92,709883,$185.82,$191.4097,$185.54
05/07/2025,$188.90,303019,$189.82,$190.23,$188.3799
05/06/2025,$192.43,301414,$192.18,$193.67,$191.85
05/05/2025,$192.48,204035,$192.09,$193.875,$192.09
05/02/2025,$192.24,225487,$192.97,$192.97,$190.72
05/01/2025,$190.58,327023,$191.23,$191.865,$190.27
04/30/2025,$191.22,343876,$189.91,$191.735,$188.55
04/29/2025,$195.39,422018,$194.68,$195.78,$193.59
04/28/2025,$193.13,554375,$193.895,$194.54,$192.379
04/25/2025,$188.21,378288,$188.07,$188.46,$186.01
04/24/2025,$186.61,433901,$185.49,$186.82,$183.65
04/23/2025,$181.43,336162,$182.50,$184.06,$181.26
04/22/2025,$178.70,359375,$176.65,$178.9972,$176.585
04/21/2025,$174.52,331594,$175.53,$175.6957,$172.6613
04/17/2025,$176.38,330259,$175.34,$177.82,$175.34
04/16/2025,$175.10,384875,$175.65,$177.47,$173.72
04/15/2025,$174.24,427803,$174.55,$176.50,$173.94
04/14/2025,$172.00,423648,$169.11,$173.0699,$168.93
04/11/2025,$169.42,486935,$167.44,$170.00,$165.86
04/10/2025,$167.22,736138,$169.45,$169.68,$163.71
04/09/2025,$174.14,1149147,$160.91,$174.48,$160.00
04/08/2025,$159.32,624540,$167.27,$167.855,$157.61
04/07/2025,$160.34,1022774,$155.25,$166.11,$155.00
04/04/2025,$158.63,919788,$159.99,$161.44,$156.73
04/03/2025,$168.07,614145,$170.49,$171.54,$167.50
04/02/2025,$177.31,307923,$176.11,$178.295,$175.24
04/01/2025,$174.42,474743,$175.80,$175.80,$173.37
03/31/2025,$176.53,335931,$175.75,$177.29,$174.66
03/28/2025,$179.07,459563,$180.19,$181.61,$177.79
03/27/2025,$183.98,484989,$184.50,$185.23,$182.52
03/26/2025,$189.28,228506,$191.70,$191.70,$189.075
03/25/2025,$193.01,167515,$192.78,$193.50,$191.925
03/24/2025,$192.47,186585,$191.40,$192.71,$191.40
03/21/2025,$190.70,229174,$190.00,$191.62,$189.48
03/20/2025,$192.17,258851,$190.41,$192.65,$190.20
03/19/2025,$193.14,280826,$192.48,$193.715,$191.758
03/18/2025,$190.20,274848,$189.90,$191.00,$188.94
03/17/2025,$188.41,306987,$186.54,$189.4998,$186.44
03/14/2025,$186.67,274616,$185.75,$186.88,$185.34
03/13/2025,$182.97,363916,$183.80,$184.87,$182.28
03/12/2025,$185.65,255695,$186.53,$186.53,$184.53
03/11/2025,$184.53,294996,$185.69,$186.19,$183.00
03/10/2025,$188.35,347938,$190.04,$190.90,$186.76
03/07/2025,$190.18,280463,$189.59,$190.50,$187.44
03/06/2025,$187.51,467601,$188.51,$189.92,$186.95
03/05/2025,$192.35,634457,$190.45,$192.92,$189.59
03/04/2025,$180.66,436151,$182.52,$183.00,$178.3245
03/03/2025,$183.79,523699,$188.33,$189.11,$182.835
02/28/2025,$181.48,363620,$179.69,$181.53,$179.12
02/27/2025,$182.28,277326,$185.01,$185.70,$182.2532
02/26/2025,$181.21,250383,$181.69,$183.06,$181.16
